Shortname,CLASS,Status,Fire,Type,Diameter_cm,Height_m,2013 status,2014 Status,Response
B5-012814-1,1,Pre,0,nf,14,5,live,live,0
B5-012814-1,1,Pre,0,nf,13,7,live,live,0
B5-012814-1,1,Pre,0,nf,5,3,live,live,0
B5-012814-1,1,Pre,0,nf,13,7,live,live,0
B5-012814-1,1,Pre,0,nf,6,4,live,live,0
B5-012814-1,1,Pre,0,nf,3,2,live,live,0
B5-012814-1,1,Pre,0,nf,5,3,live,live,0
B5-012814-1,1,Pre,0,nf,14,7,live,live,0
B5-012814-1,1,Pre,0,nf,11,7,live,live,0
B5-012814-1,1,Pre,0,nf,7,6,live,live,0
B5-012814-1,1,Pre,0,nf,3,3,live,live,0
B5-012814-1,1,Pre,0,nf,4,2,live,live,0
B5-012814-1,1,Pre,0,nf,6,4,live,live,0
B5-012814-1,1,Pre,0,nf,9,6,live,live,0
B5-012814-1,1,Pre,0,nf,24,9,live,live,0
B5-012814-1,1,Pre,0,nf,7,6,live,live,0
B5-012814-1,1,Pre,0,nf,22,9,live,live,0
B5-012814-1,1,Pre,0,nf,10,7,live,live,0
B5-012814-1,1,Pre,0,nf,8,6,live,live,0
B5-012814-1,1,Pre,0,nf,14,7,live,live,0
B5-012814-1,1,Pre,0,nf,12,7,live,live,0
B5-012814-1,1,Pre,0,nf,12,7,live,live,0
B5-012814-1,1,Pre,0,nf,3,3,live,live,0
B5-012814-1,1,Pre,0,nf,6,4,live,live,0
B5-012814-1,1,Pre,0,nf,10,6,live,live,0
B5-012814-1,1,Pre,0,nf,13,7,live,live,0
B5-012814-1,1,Pre,0,nf,6,4,live,live,0
B5-012814-1,1,Pre,0,nf,3,2,live,live,0
B5-012814-1,1,Pre,0,nf,5,4,live,live,0
B5-012814-1,1,Pre,0,nf,7,3,live,live,0
B5-012814-1,1,Pre,0,nf,16,9,live,live,0
B5-012814-1,1,Pre,0,nf,11,7,live,live,0
B5-012814-1,1,Pre,0,nf,10,8,live,live,0
B5-012814-1,1,Pre,0,nf,15,6,live,live,0
B5-012814-1,1,Pre,0,nf,5,5,live,live,0
B5-012814-1,1,Pre,0,nf,5,3,live,live,0
B5-012814-1,1,Pre,0,nf,14,8,live,live,0
B5-012814-2,1,Pre,0,nf,11,7,live,live,0
B5-012814-2,1,Pre,0,nf,21,10,live,live,0
B5-012814-2,1,Pre,0,nf,6,6,live,live,0
B5-012814-2,1,Pre,0,nf,10,8,live,live,0
B5-012814-2,1,Pre,0,nf,8,6,live,live,0
B5-012814-2,1,Pre,0,nf,10,8,live,live,0
B5-012814-2,1,Pre,0,nf,9,7,live,live,0
B5-012814-2,1,Pre,0,nf,9,8,live,live,0
B5-012814-2,1,Pre,0,nf,5,6,live,live,0
B5-012814-2,1,Pre,0,nf,10,2,live,live,0
B5-012814-2,1,Pre,0,nf,10,9,live,live,0
B5-012814-2,1,Pre,0,nf,2,3,live,live,0
B5-012814-2,1,Pre,0,nf,8,5,live,live,0
B5-012814-2,1,Pre,0,nf,24,12,live,live,0
B5-012814-2,1,Pre,0,nf,24,9,live,live,0
B5-012814-2,1,Pre,0,nf,6,6,live,live,0
B5-012814-2,1,Pre,0,nf,5,5,live,live,0
B5-012814-2,1,Pre,0,nf,5,3,live,live,0
B5-012814-2,1,Pre,0,nf,2,5,live,live,0
B5-012814-2,1,Pre,0,nf,4,5,live,live,0
B5-012814-2,1,Pre,0,nf,4,2,live,live,0
B5-012814-2,1,Pre,0,nf,9,8,live,live,0
B5-012814-2,1,Pre,0,nf,16,8,live,live,0
B5-012814-2,1,Pre,0,nf,8,7,live,live,0
B5-012814-2,1,Pre,0,nf,5,5,live,live,0
B5-012814-2,1,Pre,0,nf,7,6,live,live,0
B5-012814-2,1,Pre,0,nf,3,3,live,live,0
B5-012814-2,1,Pre,0,nf,12,3,live,live,0
B5-012814-2,1,Pre,0,nf,25,9,live,live,0
B5-012814-2,1,Pre,0,nf,7,6,live,live,0
B5-012814-2,1,Pre,0,nf,12,8,live,live,0
B5-012814-2,1,Pre,0,nf,8,6,live,live,0
B5-012814-2,1,Pre,0,nf,5,5,live,live,0
B5-012814-2,1,Pre,0,nf,4,2,live,live,0
B5-012814-2,1,Pre,0,nf,8,6,live,live,0
B5-012814-2,1,Pre,0,nf,18,9,live,live,0
B5-012814-2,1,Pre,0,nf,19,11,live,live,0
B5-012814-3,1,Pre,0,nf,13,8,live,live,0
B5-012814-3,1,Pre,0,nf,12,7,live,live,0
B5-012814-3,1,Pre,0,nf,14,6,live,live,0
B5-012814-3,1,Pre,0,nf,5,2,live,live,0
B5-012814-3,1,Pre,0,nf,22,10,live,live,0
B5-012814-3,1,Pre,0,nf,9,6,live,live,0
B5-012814-3,1,Pre,0,nf,2,3,live,live,0
B5-012814-3,1,Pre,0,nf,10,7,live,live,0
B5-012814-3,1,Pre,0,nf,6,5,live,live,0
B5-012814-3,1,Pre,0,nf,10,6,live,live,0
B5-012814-3,1,Pre,0,nf,18,8,live,live,0
B5-012814-3,1,Pre,0,nf,15,8,live,live,0
B5-012814-3,1,Pre,0,nf,16,6,live,live,0
B5-012814-3,1,Pre,0,nf,12,7,live,live,0
B5-012814-3,1,Pre,0,nf,2,2,live,live,0
B5-012814-3,1,Pre,0,nf,9,6,live,live,0
B5-012814-3,1,Pre,0,nf,5,3,live,live,0
B5-012814-3,1,Pre,0,nf,13,8,live,live,0
B5-012814-3,1,Pre,0,nf,5,5,live,live,0
B5-012814-3,1,Pre,0,nf,10,6,live,live,0
B5-012814-3,1,Pre,0,nf,6,5,live,live,0
B5-012814-3,1,Pre,0,nf,3,4,live,live,0
B5-012814-3,1,Pre,0,nf,16,8,live,live,0
B5-012814-3,1,Pre,0,nf,9,7,live,live,0
B5-012814-3,1,Pre,0,nf,5,4,live,live,0
B5-012814-3,1,Pre,0,nf,13,8,live,live,0
B5-012814-3,1,Pre,0,nf,13,8,live,live,0
B5-012814-3,1,Pre,0,nf,15,8,live,live,0
B5-012814-3,1,Pre,0,nf,18,7,live,live,0
B6-012914A,1,Pre,0,nf,11,8,live,live,0
B6-012914A,1,Pre,0,nf,14,12,live,live,0
B6-012914A,1,Pre,0,nf,21,13,live,live,0
B6-012914A,1,Pre,0,nf,14,13,live,live,0
B6-012914A,1,Pre,0,nf,18,13,live,live,0
B6-012914A,1,Pre,0,nf,23,12,live,live,0
B6-012914A,1,Pre,0,nf,9,3,live,live,0
B6-012914A,1,Pre,0,nf,8,7,live,live,0
B6-012914A,1,Pre,0,nf,11,5,live,live,0
B6-012914A,1,Pre,0,nf,23,12,live,live,0
B6-012914A,1,Pre,0,nf,17,10,live,live,0
B6-012914A,1,Pre,0,nf,22,13,live,live,0
B6-012914A,1,Pre,0,nf,10,5,live,live,0
B6-012914A,1,Pre,0,nf,14,10,live,live,0
B6-012914A,1,Pre,0,nf,8,6,live,live,0
B6-012914A,1,Pre,0,nf,14,10,live,live,0
B6-012914A,1,Pre,0,nf,3,8,live,live,0
B6-012914A,1,Pre,0,nf,26,15,live,live,0
B6-012914A,1,Pre,0,nf,8,8,live,live,0
B6-012914A,1,Pre,0,nf,10,7,live,live,0
B6-012914A,1,Pre,0,nf,31,17,live,live,0
B6-012914A,1,Pre,0,nf,11,11,live,live,0
B6-012914A,1,Pre,0,nf,20,15,live,live,0
BN1,1,Pre,0,nf,23,15,live,live,0
BN1,1,Pre,0,nf,27,18,live,live,0
BN1,1,Pre,0,nf,22,16,live,live,0
BN1,1,Pre,0,nf,14,15,live,live,0
BN1,1,Pre,0,nf,29,16,live,live,0
BN1,1,Pre,0,nf,41,21,live,live,0
BN2,1,Pre,0,nf,21,11,live,live,0
BN2,1,Pre,0,nf,35,17,live,live,0
BN2,1,Pre,0,nf,22,16,live,live,0
BN2,1,Pre,0,nf,34,19,live,live,0
BN2,1,Pre,0,nf,29,17,live,live,0
BN2,1,Pre,0,nf,20,16,live,live,0
BN2,1,Pre,0,nf,31,20,live,live,0
BN2,1,Pre,0,nf,26,18,live,live,0
BN2,1,Pre,0,nf,26,19,live,live,0
BN3,1,Pre,0,nf,27,14,live,live,0
BN3,1,Pre,0,nf,37,15,live,live,0
BN3,1,Pre,0,nf,17,13,live,live,0
BN3,1,Pre,0,nf,18,14,live,live,0
BN3,1,Pre,0,nf,25,14,live,live,0
BN3,1,Pre,0,nf,17,13,live,live,0
BN3,1,Pre,0,nf,19,12,live,live,0
BN3,1,Pre,0,nf,17,13,live,live,0
BN3,1,Pre,0,nf,13,11,live,live,0
BN3,1,Pre,0,nf,25,15,live,live,0
BN3,1,Pre,0,nf,14,12,live,live,0
BS2,1,Pre,0,nf,12,9,live,live,0
BS2,1,Pre,0,nf,7,6,live,live,0
BS2,1,Pre,0,nf,5,5,live,live,0
BS2,1,Pre,0,nf,7,5,live,live,0
BS2,1,Pre,0,nf,17,12,live,live,0
BS2,1,Pre,0,nf,3,3,live,live,0
BS2,1,Pre,0,nf,7,6,live,live,0
BS2,1,Pre,0,nf,1,2,live,live,0
BS2,1,Pre,0,nf,4,3,live,live,0
BS2,1,Pre,0,nf,6,6,live,live,0
BS2,1,Pre,0,nf,4,3,live,live,0
BS2,1,Pre,0,nf,46,21,live,live,0
BS2,1,Pre,0,nf,39,22,live,live,0
BS2,1,Pre,0,nf,17,9,live,live,0
BS2,1,Pre,0,nf,4,4,live,live,0
BS2,1,Pre,0,nf,2,2,live,live,0
BS2,1,Pre,0,nf,6,5,live,live,0
BS2,1,Pre,0,nf,5,6,live,live,0
BS3,1,Pre,0,nf,8,7,live,live,0
BS3,1,Pre,0,nf,25,16,live,live,0
BS3,1,Pre,0,nf,14,12,live,live,0
BS3,1,Pre,0,nf,24,16,live,live,0
BS3,1,Pre,0,nf,9,7,live,live,0
BS3,1,Pre,0,nf,22,16,live,live,0
BS3,1,Pre,0,nf,5,5,live,live,0
BS3,1,Pre,0,nf,21,15,live,live,0
BS3,1,Pre,0,nf,7,4,live,live,0
BS3,1,Pre,0,nf,5,5,live,live,0
BS3,1,Pre,0,nf,17,14,live,live,0
BS3,1,Pre,0,nf,11,8,live,live,0
BS3,1,Pre,0,nf,9,8,live,live,0
BS3,1,Pre,0,nf,5,4,live,live,0
BS3,1,Pre,0,nf,10,7,live,live,0
BS3,1,Pre,0,nf,24,17,live,live,0
BS3,1,Pre,0,nf,11,8,live,live,0
BS3,1,Pre,0,nf,13,9,live,live,0
BS3,1,Pre,0,nf,14,12,live,live,0
BS3,1,Pre,0,nf,18,13,live,live,0
BWRN1,1,Pre,0,nf,22,14,live,live,0
BWRN1,1,Pre,0,nf,24,16,live,live,0
BWRN1,1,Pre,0,nf,9,6,live,live,0
BWRN1,1,Pre,0,nf,14,10,live,live,0
BWRN1,1,Pre,0,nf,8,5,live,live,0
BWRN1,1,Pre,0,nf,10,6,live,live,0
BWRN1,1,Pre,0,nf,30,14,live,live,0
BWRN1,1,Pre,0,nf,18,16,live,live,0
BWRN1,1,Pre,0,nf,15,16,live,live,0
BWRN1,1,Pre,0,nf,7,8,live,live,0
BWRN1,1,Pre,0,nf,20,14,live,live,0
BWRN1,1,Pre,0,nf,13,12,live,live,0
BWRN1,1,Pre,0,nf,23,17,live,live,0
BWRN1,1,Pre,0,nf,28,18,live,live,0
BWRN2A,1,Pre,0,nf,33,14,live,live,0
BWRN2A,1,Pre,0,nf,8,6,live,live,0
BWRN2A,1,Pre,0,nf,5,3,live,live,0
BWRN2A,1,Pre,0,nf,10,8,live,live,0
BWRN2A,1,Pre,0,nf,19,13,live,live,0
BWRN2A,1,Pre,0,nf,23,16,live,live,0
BWRN2A,1,Pre,0,nf,23,15,live,live,0
BWRN2A,1,Pre,0,nf,20,13,live,live,0
